       Unnamed: 0          gene_id                           gene_type     logFC    AveExpr
49           7789         AC010090                             lincRNA  0.282704   1.780643
50          17680             RP11                           antisense  0.290359   0.406576
51          14788             RP11                           antisense  0.245295   0.781992
52          18723         RN7SL26P                            misc_RNA  0.248490   1.745449
53          13318             RP13              unprocessed_pseudogene  0.332236  -1.579953
54           3659         SLAMF6P1              unprocessed_pseudogene  0.294771  -0.802686
55           1860             RNU6                               snRNA  0.252258   2.117380
56          10400        LINC00698                             lincRNA  0.279978  12.015685
57           7625         MTND1P26              unprocessed_pseudogene  0.343811  -0.028531
58          15063           SNHG18                             lincRNA  0.254652   0.899935
59          10506             RP11                             lincRNA  0.351981  -0.404851
60          12965            UCHL1                      protein_coding  0.352866  -1.030630
61          18833              NaN                processed_pseudogene  0.358742  -0.016293
62          11624              NaN                                 TEC  0.278884  -1.014057
63           9528             RNU6                               snRNA  0.330448   0.879215
64          18725             BAK1                      protein_coding  0.234300   2.141005
65          15879          MIR4803                               miRNA  0.258465   1.149291
66           1440              RP5                processed_pseudogene  0.261829   0.536861
67           6340         AC007365                processed_pseudogene  0.264979  -0.853756
68           6571              HK2                      protein_coding  0.568115  -1.328278
69          15035             RP11                             lincRNA  0.276193   3.662954
70          10039             ELP6                      protein_coding  0.266965   1.574210
71          15876              NaN                processed_pseudogene  0.330242  -0.055433
72            115             VWA1                      protein_coding  0.226755   0.453593
73          14695             RP11                           antisense  0.247601  -0.382347
74           8097             RNU6                               snRNA  0.524621  -1.629449
75          18704            PFDN6                      protein_coding  0.195306   1.019984
76           7133              NaN                                 TEC  0.250021  -0.549272
77          12651          MIR3138                               miRNA  0.294398   0.191009
78           4087         RNA5SP72                     rRNA_pseudogene  0.281341  -1.278951
79          13002        RN7SL193P                            misc_RNA  0.521983  -0.603600
80           1178         RNA5SP43                     rRNA_pseudogene  0.208844   3.353115
81           2552            Y_RNA                            misc_RNA  0.278059   0.850219
82          11509             RP11                             lincRNA  0.252685   1.810623
83            434         PRAMEF12                      protein_coding  0.256964  -1.377164
84           5746             PREB                      protein_coding  0.293578  -0.699814
85           5244           OR3D1P              unprocessed_pseudogene  0.288383   1.249583
86           8284         AC013733                           antisense  0.300161  -1.410668
87           5642         RNA5SP87                     rRNA_pseudogene  0.264872   0.038582
88           1441         MRPS17P1                processed_pseudogene  0.241786   1.406515
89          12781             RP11                             lincRNA  0.281733   1.711739
90            790             RNU6                               snRNA  0.280389  -1.362527
91          14506          C4orf45                      protein_coding  0.375996  -0.758051
92          14549             RP11                processed_pseudogene  0.303901  -1.009996
93          14696              AGA                      protein_coding  0.240309   0.110016
94          16848            KDM3B                      protein_coding  0.242782   0.861454
95           9526           SLC6A6                      protein_coding  0.354270  -1.465545
96          14565             RP11                processed_pseudogene  0.281159   4.218393
97           4327             RP11      transcribed_unitary_pseudogene  0.212110   0.868397
98           6968         AC012307                             lincRNA  0.236126   0.566740
99          10741          TMEM45A                      protein_coding  0.217945   0.939523
100         16941           VTRNA1                            misc_RNA  0.278973  -0.745806
101         15627             RP11                           antisense  0.224774   4.826568
102          9688           ZCWPW2                      protein_coding  0.223099   3.600059
103          9190           RPL3P5    transcribed_processed_pseudogene  0.301927   0.131655
104          9525        RNA5SP124                     rRNA_pseudogene  0.270374   1.541779
105          2881              NaN                             lincRNA  0.217955  -0.139225
106         15280              CTD                processed_pseudogene  0.323007  -0.488296
107          3162         AL589986                           antisense  0.270716  -0.671207
108          8078         AC007405                             lincRNA  0.225905  -1.092955
109          9340         RPL21P17                processed_pseudogene  0.324389  -1.387835
110          8858              FEV                      protein_coding  0.302184  -0.751951
111         12772             RP11                processed_pseudogene  0.197838   2.334666
112           998              RP1                             lincRNA -0.239132   0.017860
113          2012             RNU6                               snRNA  0.210614   1.381991
114          9173         AC114814                             lincRNA  0.259282   0.443073
115          9191            ACKR3                      protein_coding  0.252822   4.534628
116          7903              NaN                             lincRNA  0.217628   0.715587
117          1525              RP4                processed_pseudogene -0.286181   1.354628
118           704              RP1                             lincRNA  0.263618   1.502756
119          6327              NaN                               miRNA  0.261780   0.518076
120          7790            TEX41                             lincRNA  0.232245   3.345755
121         16609             RP11                processed_pseudogene -0.262100   1.281281
122          8916         AC114765                             lincRNA  0.269769  -0.241402
123          9776          HSPD1P6    transcribed_processed_pseudogene  0.267174   0.605982
124          4785             LIN9                      protein_coding  0.261343   0.708995
125          4049             RP11                processed_pseudogene  0.217519  -0.204198
126          8075              NaN                            misc_RNA  0.268392   0.376818
127          4845             RP11                             lincRNA -0.260614  -0.569554
128         10615             RP11                             lincRNA -0.235246   0.227585
129         18734              RP3                processed_pseudogene  0.244848  -0.573349
130          2889         AC239860  transcribed_unprocessed_pseudogene  0.242318   1.854363
131          3882              RP3                           antisense  0.390146  -1.462599
132          1790             RP11                             lincRNA  0.259315   1.738764
133         10968             RP11                      protein_coding  0.227423  -1.226676
134         15848             RP11              unprocessed_pseudogene  0.221645   2.649037
135          3051           ANP32E                      protein_coding  0.246702  -0.045064
136         15722             RP11                processed_pseudogene  0.270357   1.482787
137          9978            LARS2                      protein_coding  0.260914  -0.323627
138         14886            Y_RNA                            misc_RNA  0.235265   1.581510
139         15721           ZSWIM6                      protein_coding  0.359057  -1.615314
140         12583             RP11                             lincRNA  0.196208   1.206091
141          4375             RP11                processed_pseudogene  0.262520   0.403210
142         15334          MIR4279                               miRNA  0.324071   5.635527
143         14543             RNU6                               snRNA  0.267028   0.225856
144          5888         AC012593                             lincRNA  0.225777   1.227345
145         18599          C6orf48                      protein_coding  0.244744  -0.103535
146          6664             RP11                             lincRNA  0.205934   1.474562
147         14005             RNU4                               snRNA  0.237592  -0.923456
148         12720           FGFBP1                      protein_coding  0.227102  -0.747256
149         11055            PDIA5                      protein_coding -0.259398  -1.093925
150         10415            PSMD6                           antisense  0.234668  -0.992216
151         14868        RARRES2P4                processed_pseudogene -0.294402  -1.405979
152          2906         AC243547                      protein_coding  0.189785   6.029075
153         18534        ZDHHC20P2                processed_pseudogene  0.298380  -0.989338
154          8452             RNU6                               snRNA  0.199226   2.094611
155          7500             RNU6                               snRNA  0.193720   5.911258
156         16145             RP11                             lincRNA  0.295100  -0.671978
157          8834            USP37                      protein_coding  0.272322  -0.050003
158          4445             RP11                             lincRNA  0.217963   0.482604
159         15281             CDH9                      protein_coding  0.284694  -0.093144
160          9529         RHBDF1P1                processed_pseudogene  0.306164  -1.413222
161          1777        RN7SL475P                            misc_RNA  0.214274   3.367054
162         18726        LINC00336                             lincRNA  0.201204   4.010511
163          3938         PTP4A1P7                processed_pseudogene  0.233286  -0.670561
164          4598            PROX1                processed_transcript  0.222302   0.858131
165         15360              CTD                             lincRNA  0.216713   0.952671
166         14238            Y_RNA                            misc_RNA  0.167516   7.846222
167         15285             RP11                processed_pseudogene  0.293142   4.627505
168         11895         NAALADL2                           antisense  0.232211  -1.349928
169          9043             RNU6                               snRNA  0.299952   0.890912
170          5681           PTRHD1                      protein_coding  0.255412  -1.335194
171         14641          MIR548T                               miRNA  0.240743   0.165151
172         14547             RP11                      protein_coding  0.286473  -1.000316
173         15952              CTD                processed_pseudogene  0.207269   2.513679
174          4378          PLEKHA6                      protein_coding  0.274207   0.678492
175         14310              NaN                                 TEC  0.206766   2.432322
176         18562           PRRC2A                      protein_coding  0.193045   0.261483
177          6634        RN7SL201P                            misc_RNA  0.264502  -1.035940
178          6992        RNA5SP101                     rRNA_pseudogene  0.237166  -0.134828
179          5248           OR14A2                      protein_coding  0.216556  -0.023427
180           137             NADK                      protein_coding  0.220707   0.994542
181         16776              CTB                processed_pseudogene  0.254976  -0.039751
182          2673              RP4              unprocessed_pseudogene  0.178642   2.194820
183         15006            PAPD7                      protein_coding  0.183549   3.221811
184         10212            IQCF6                      protein_coding  0.232774   1.128493
185          1966              NaN                             lincRNA  0.221043  -0.706504
186          2553          NRBF2P3                processed_pseudogene  0.232593   1.622490
187         15431             GDNF                           antisense  0.205912   2.609817
188          4086              GS1                             lincRNA  0.220327  -0.398553
189           703             RNU6                               snRNA  0.209114   3.034905
190         14158              NaN                               snRNA  0.208578   2.107810
191         12017          DCUN1D1                      protein_coding  0.277566   0.838871
192          8003         CYP2C56P                processed_pseudogene  0.231331   4.195569
193         13426             RP11                           antisense -0.226425  -0.549828
194          6932           UBTFL5              unprocessed_pseudogene  0.199594   1.078172
195         11751             RP13                processed_pseudogene  0.444545  -1.262954
196         14269             GYPE                      protein_coding  0.189057   0.669041
197         15994            ZBED3                           antisense  0.228497   0.924053
198           835          SLC30A2                      protein_coding  0.203874  -0.575973
199         18748            RPS10                      protein_coding  0.218695   0.267031
200          3313           PBXIP1                      protein_coding  0.232085   0.905869
201          9984              NaN                                 TEC  0.256912   1.870223
202          6495        RAB11FIP5                      protein_coding  0.217131  -1.272290
203          3583             RP11                processed_pseudogene  0.185487   0.848716
204          6718            KDM3A                      protein_coding  0.180453   3.515830
205          2317             RP11                             lincRNA -0.238767  -1.225089
206         15066           TAS2R1                      protein_coding -0.276577   5.967036
207          2286              RP5                processed_pseudogene  0.200733   1.216149
208          1902             RP11                processed_pseudogene  0.254679  -1.186183
209         10249             RP11                processed_pseudogene -0.203284  -1.251153
210          7364         AC010982                             lincRNA  0.256716   1.021763
211          5702           TPM3P7                processed_pseudogene  0.242374  -1.128590
212         14551         FAM218BP                processed_pseudogene -0.229153  -1.136721
213         11805            MECOM                      protein_coding  0.188034   0.809016
214          8735              NaN                               miRNA  0.222442  -1.353121
215         16074            CKMT2                      protein_coding  0.273186   2.601801
216         17873          MIR3691                               miRNA  0.209195   0.726927
217          2013             RP11                             lincRNA  0.204465   0.251066
218         16270            Y_RNA                            misc_RNA  0.287957  -1.462274
219          2270           FNBP1L                      protein_coding -0.209040   4.225404
220          4056             RP11                processed_pseudogene  0.219885   0.218827
221         12894             RP11                processed_pseudogene  0.189897   2.550651
222           908              FGR                      protein_coding  0.238258  -1.308259
223          2096           PRKACB                      protein_coding  0.219270   4.389909
224          5316             RNU6                               snRNA  0.173564   5.561409
225         13568              NaN                processed_pseudogene  0.238655  -1.274901
226          6088           BCYRN1                               scRNA  0.204358   1.508033
227           612          MIR4695                               miRNA  0.212744   0.460469
228          1868           DNAJC6                      protein_coding  0.206863   1.030156
229          1439       CCNB1IP1P1                processed_pseudogene  0.184835   2.450063
230          6322        LINC00309                             lincRNA  0.317163  -1.554758
231          4316             RP11    transcribed_processed_pseudogene  0.256919  -1.250988
232         14968              CTD                           antisense  0.243307  -0.758581
233          7265             BUB1                      protein_coding -0.248275   7.356887
234          3222             RNU6                               snRNA  0.300481  -1.254899
235         15499             RP11                processed_pseudogene  0.224457  -1.108803
236         12758            SLIT2                      sense_intronic -0.212724  -1.025977
237          7627              NaN              unprocessed_pseudogene  0.227745   0.981887
238          5084             RP11                processed_pseudogene  0.196061  -0.264812
239          7563             RP11                processed_pseudogene  0.173693   1.379702
240         13901             RP11                processed_pseudogene  0.311583  -1.632159
241         12564            AFAP1                           antisense  0.204477   0.244423
242         18492        RN7SKP186                            misc_RNA  0.241946  -0.503014
243          9016             DNER                      protein_coding  0.401620  -1.158390
244          3666        RN7SL861P                            misc_RNA  0.217935   0.316407
245          9192         AC011286                             lincRNA  0.270860  -0.232152
246          2937          PDIA3P1    transcribed_processed_pseudogene  0.190609   3.140840
247          1867              RP4                processed_pseudogene  0.182198   1.626959
248         13271            GNRHR                      protein_coding  0.177968   2.668659
249         17607             RP11                           antisense  0.186556   1.461027
250          1194           EPHA10                      protein_coding  0.259542   1.102589
251         14526             RP11                processed_pseudogene  0.225693  -0.169958
252          6183         AC012358                processed_pseudogene  0.220272   0.649241
253          5617         AC012065                             lincRNA  0.229507   4.891259
254          8525            TRAK2                      protein_coding  0.190688   0.724550
255         15120              CTD                processed_pseudogene  0.226316   0.588017
256          7248              NaN  transcribed_unprocessed_pseudogene  0.227809   0.989744
257          5701            ASXL2                      protein_coding -0.229945   0.620349
258           255              NaN                             lincRNA  0.172358  -0.204885
259         11945           ZNF639                      protein_coding  0.181975   5.905686
260         14806             RP11                processed_pseudogene  0.291394  -1.226417
261          3089             RP11                           antisense  0.261224  -1.177744
262          2550             RP11                             lincRNA  0.194288   0.200820
263          5381             ALLC                      protein_coding  0.197789   0.463358
264          5747          C2orf53                      protein_coding  0.183596   1.474246
265          1848              NaN                             lincRNA  0.179879   2.765765
266          7124         AC068535                             lincRNA -0.206226   3.899213
267          7473         AC114783                      protein_coding  0.215233   1.095046
268         18691          SLC39A7                      protein_coding  0.210549   1.910464
269           523           ZBTB17                      protein_coding  0.198099  -1.294103
270         11316         HMGB3P13                processed_pseudogene  0.214036   2.955227
271          2516            GSTM3                      protein_coding  0.208866   5.053600
272         10495         UBE2Q2P9                processed_pseudogene  0.172221   5.710139
273         11493             RP11                             lincRNA  0.210640   1.374342
274         12984            BEND4                      protein_coding  0.194414   0.982588
275          6769            FOXI3                      protein_coding  0.216077   1.346017
276          3489              NaN                      protein_coding  0.262287   0.308219
277         11081              NaN                            misc_RNA  0.181774   0.109724
278          9524             RP11                             lincRNA  0.209853   3.183885
279         16623              CTD                processed_pseudogene -0.267040   0.923096
280          8022           TTC21B                processed_transcript  0.166723   1.841495
281          7781            GTDC1                      protein_coding  0.176059   3.346780
282         12903             RP11                             lincRNA  0.206594   2.957099
283         13738             ADH6                      protein_coding  0.205381   1.986145
284          2832             RP11                processed_pseudogene  0.179516   8.162446
285           140           CALML6                      protein_coding  0.272256  -1.437929
286          5121         MAP1LC3C                      protein_coding  0.212665   0.252389
287          1531             RP11                             lincRNA -0.209766   5.389998
288         11625           GPR149                      protein_coding  0.217774  -0.334996
289          7007              NaN                             lincRNA  0.185444   0.597685
290         17151           GRPEL2                      protein_coding -0.192887   4.558437
291          8597         AC125238                processed_pseudogene  0.195959   1.343587
292          2865              NaN                             lincRNA -0.185588   2.144082
293          8343            GULP1                      protein_coding -0.194771  -1.316906
294          5763           ZNF513                      protein_coding  0.172492   1.893667
295         14151              CTD                             lincRNA  0.195992   0.648884
296         16196              CTD                           antisense  0.263059  -1.198918
297         10011          SNORD77                              snoRNA  0.169430   5.297851
298          1471          TMA16P2                processed_pseudogene  0.218643  -1.382161
299           920              RP3                      sense_intronic  0.147487   0.705449
300         13615         HSD17B11                      protein_coding  0.179633   3.801184
301         17433          MIR378E                               miRNA  0.198087   2.326138
302          8749            BARD1                      protein_coding  0.202842  -0.058686
303          3377         KIAA0907                      protein_coding  0.216241   3.125188
304          8252             RP11                           antisense  0.360639  -1.162947
305         14829             RP11                             lincRNA  0.211688   0.672949
306          5514        RN7SL674P                            misc_RNA  0.241713   1.010237
307          5904             STRN                      protein_coding -0.178490   6.838623
308          8473         AC093590                             lincRNA -0.218761  -1.341265
309         10174           LSMEM2                      protein_coding  0.304821  -1.490631
310          6853           IGKV3D                           IG_V_gene  0.220685   0.155022
311          9388            LMCD1                           antisense  0.187845  -1.083978
312          1996              RP4                processed_pseudogene  0.206610  -0.817636
313          3481           OR10K1                      protein_coding  0.170902   1.419744
314         10029              NaN                processed_pseudogene  0.158444   5.274509
315          9344            CNTN4                             lincRNA -0.190059   4.361544
316          9262           ANKMY1                      protein_coding  0.168059   0.926680
317         14463             TDO2                      protein_coding  0.213188  -1.398022
318          7626          MED15P3                processed_pseudogene  0.231430   0.843637
319          8531         AC007282              unprocessed_pseudogene  0.173230   2.204325
320          1904         HNRNPCP9                processed_pseudogene  0.187736   1.278119
321         15036             RP11              unprocessed_pseudogene  0.175296   1.689010
322         12542              NaN              unprocessed_pseudogene  0.184941  -0.468131
323          4843              RP5                           antisense  0.183316   2.577248
324         11457           U2SURP                      protein_coding  0.183738   1.031431
325          3189             KPRP                      protein_coding  0.190565   3.011827
326          9865            RPL14                      protein_coding  0.249335  -1.343040
327          5930           CYP1B1                           antisense  0.300068  -1.586111
328           602              NaN                                 TEC  0.242295  -1.529466
329          8747            VWC2L                      sense_intronic  0.233446  -1.614962
330          8129              SP3                      protein_coding  0.206478  -0.365559
331          3368           YY1AP1                      protein_coding  0.171630   0.360148
332          4927              RP5                           antisense  0.194792   1.257741
333         11822         KRT18P43                processed_pseudogene  0.207471  -1.320270
334          4453             RP11                processed_pseudogene  0.225284   0.385671
335         11359          KRT8P36                processed_pseudogene  0.196776  -1.450512
336         11996              NaN                            misc_RNA  0.204778  -1.232662
337         11167             RNU2                               snRNA -0.184082   0.930763
338          8149         AC018890                           antisense -0.204888   0.236546
339          6302             OTX1                      protein_coding -0.190409   4.919173
340          4856        HIST3H2BA                  unitary_pseudogene  0.235164   0.510974
341          9992            CXCR6                      protein_coding  0.242384  -1.556999
342         14245             RP11                             lincRNA  0.232353   0.567708
343          6528            BOLA3                      protein_coding  0.162245   2.864562
344         14605          RNY4P17                            misc_RNA  0.265914  -1.417498
345          8296         RPL31P15                processed_pseudogene  0.213603   1.483122
346         15877              NaN                           antisense  0.224681  -0.910921
347          6092              NaN                            misc_RNA  0.267205   0.781259
348         15581             PELO                      protein_coding  0.192047  -0.553663
349          9991            FYCO1                      protein_coding  0.213654  -0.772475
350         15840             RP11              unprocessed_pseudogene  0.203979  -1.317641
351         17227             RP11    transcribed_processed_pseudogene  0.197388  -0.312111
352          1614          PDCL3P6                processed_pseudogene  0.235550   1.286184
353           554               U1                             lincRNA  0.204539   3.388179
354          9989             CCR9                      protein_coding  0.185213   0.409314
355         10927             DRD3                      protein_coding  0.186758   0.488103
356          2980            Y_RNA                            misc_RNA  0.162690   2.132731
357          5623             GDF7                      protein_coding  0.241590  -1.230124
358          5813         AC105398                           antisense  0.188394  -0.378388
359         18942             RP11                processed_pseudogene  0.156204   4.744312
360         14190             RP11                             lincRNA  0.201993  -1.395392
361          2672              NGF                      protein_coding  0.160490   1.416193
362         16639              CTC                      sense_intronic  0.165696   0.124019
363         18661              HLA                      protein_coding  0.179163   0.588081
364          8074         AC007277                           antisense  0.214115  -0.029787
365         16174             RP11                             lincRNA  0.247367  -1.504498
366          1313            FOXO6                      protein_coding  0.175563   0.406838
367          9151         AC114812              unprocessed_pseudogene  0.209513   0.247967
368          1654              RP5                           antisense -0.179883   5.675832
369         17835             RP11                   sense_overlapping  0.180461   4.010043
370         12047            HTR3C                      protein_coding  0.201660  -0.688070
371         14956              NaN                             lincRNA -0.202931  -0.989815
372          2046            PTGFR                      protein_coding  0.166214   0.719273
373         11563            EIF2A                      protein_coding  0.279564  -0.608734
374         17703             RP11                processed_pseudogene  0.233684  -0.285224
375         14213          FTH1P24                processed_pseudogene  0.148034   0.735861
376         13485           CXCL13                      protein_coding  0.161617   2.485011
377          7094            IL1R2                      protein_coding  0.182283   3.849797
378         12771           GPR125                      protein_coding  0.158007   1.594280
379         15496              GHR                      protein_coding  0.164660   2.223417
380          8273          FTH1P20                processed_pseudogene  0.252644  -1.363388
381           718           ZBTB40                      sense_intronic -0.237650   0.667023
382          6394             RP11                      protein_coding -0.207832   0.999439
383         15111             RNU6                               snRNA  0.188422   3.223940
384          6972            CIAO1                      protein_coding  0.176024   0.644653
385         13774             RP11                             lincRNA  0.216183   2.823445
386          1159           SH3D21                      protein_coding  0.173367   1.494148
387          7904            NR4A2                      protein_coding  0.187357   2.038604
388          1799         RPS15AP7                processed_pseudogene  0.226850  -1.196988
389          2919         AC243756                processed_pseudogene -0.157813   4.110829
390         17511              CTB                             lincRNA  0.178943   0.775140
391          2023             ZZZ3                      protein_coding  0.218060  -1.094906
392         18531              NaN                             lincRNA -0.196846   3.904159
393          5822          SNORA64                              snoRNA  0.198731  -1.196925
394          7196          SULT1C3                      protein_coding  0.159435   0.613626
395         17807              RP1              unprocessed_pseudogene -0.236594  -1.315394
396         13458           FAM47E                      protein_coding  0.198125   0.252433
397          1989             RP11                           antisense  0.193884   3.428568
398           603             RP11                           antisense  0.213436   4.701625
399         18036          MIR4639                               miRNA  0.211125  -0.026034
400         11640             RP11              unprocessed_pseudogene -0.217930   0.669949
401         15082             CCT5                      protein_coding  0.198515   0.528766
402           116           ATAD3C                      protein_coding  0.175649   0.101120
403          8877            GLB1L                      protein_coding  0.180999   3.925844
404         15045          MTND6P2                processed_pseudogene  0.224262  -0.440520
405         18548           DDX39B                      protein_coding  0.206802  -0.924248
406          1941             RP11                           antisense  0.203337  -1.299620
407         12141          ST6GAL1                      protein_coding -0.216542   5.414955
408          8295          DNAJC10                      protein_coding  0.228087  -1.439470
409          3962          RALGPS2                      protein_coding  0.191687  -1.082459
410         12009         RPL7L1P8                processed_pseudogene  0.228639  -1.437597
411         10507             RNU1                               snRNA  0.199858   4.260281
412          5306              NaN                processed_pseudogene -0.181336   5.873233
413          8896            ASIC4                      protein_coding  0.209256  -0.857610
414         14613         PTGES3P3                processed_pseudogene  0.218442   2.047415
415          9706            GADL1                      protein_coding  0.213912  -1.421931
416         13213        MIR548AG1                               miRNA  0.171072   2.386927
417         14018             RP11                             lincRNA  0.223624  -1.522030
418          9471             RP11                           antisense  0.218044  -0.672035
419         17544              NaN                                 TEC  0.174501  -0.113048
420          1006           SEPW1P                processed_pseudogene  0.201863  -0.719302
421          7008         AC159540                             lincRNA  0.174851   5.280636
422           553              RP4                             lincRNA  0.209311   2.159883
423          8053             BBS5                      protein_coding -0.220447  -1.136810
424         18105             RP11                             lincRNA  0.245537  -0.366327
425          8008         SNORA70F                              snoRNA  0.224636  -1.509425
426          6781            IGKJ4                           IG_J_gene  0.142711   5.274218
427         17203            TNIP1                      protein_coding  0.203642   0.658194
428         15081              CTD                           antisense  0.175209   0.712827
429          5586           NT5C1B                      protein_coding  0.215597   2.196440
430          7982         AC062022                processed_pseudogene  0.159396   2.336406
431           297             RP11                processed_pseudogene  0.192411   1.197890
432          6398             RP11                           antisense  0.180868  -0.637202
433         18342           TRIM27                      protein_coding  0.223289  -1.560570
434         12323            NRROS                      protein_coding  0.164618   1.497091
435          7778         AC079584                             lincRNA  0.184432  -1.392705
436          3924             RP11                             lincRNA  0.170521   0.455607
437          8444         AC017035                processed_pseudogene  0.166164  -0.237599
438         16718            HSPA4                      protein_coding  0.198452   0.873822
439          3939            ASTN1                      protein_coding  0.155399   2.784660
440          6226             RP11                             lincRNA  0.272408  -1.209538
441         12046            HTR3D                      protein_coding  0.190131  -0.517388
442         16264              CTD                           antisense  0.210695   0.663205
443          2418            RNPC3                      protein_coding  0.190411   0.120303
444         10686           OR5AC1              polymorphic_pseudogene -0.171643   8.185323
445         13535             RNU6                               snRNA  0.177345   0.364323
446         12960            Y_RNA                            misc_RNA  0.177102   0.466850
447          1765              RP4                             lincRNA  0.203982  -0.251252
448         18926           SNORA8                              snoRNA  0.163764   0.241445
449           826            STMN1                      protein_coding  0.183722   0.509531
450         18093             RNU6                               snRNA -0.204169  -0.887860
451         10889             RP11                             lincRNA  0.165443   3.245009
452           687          PFN1P10                processed_pseudogene -0.167758   5.953202
453         11425             RP11                processed_pseudogene  0.175934   1.257070
454          6032            PREPL                      protein_coding  0.243322  -0.627906
455          1919            RPE65                      protein_coding  0.174199   1.211331
456          2904             RP11                           antisense  0.162106   3.259208
457          1001             SDC3                      protein_coding  0.205615  10.030438
458          6502             EGR4                      protein_coding  0.172445  -0.398736
459          5284            OR2T4                      protein_coding  0.181455  -0.634714
460          8529         ALS2CR11                      protein_coding  0.167387   0.620318
461          5050           HEATR1                      protein_coding  0.194634  -1.373945
462          6742         IGKV3OR2                           IG_V_gene  0.188189   1.241847
463          6196          SNORA12                              snoRNA  0.235404  -1.592308
464         16481            AQPEP                      protein_coding  0.219179   0.745063
465          3606             PPOX                      protein_coding  0.163903   0.454791
466          9515            TPRXL    transcribed_processed_pseudogene  0.175563   0.757366
467         12658         AC006499                processed_pseudogene  0.171391   0.976366
468         15933             NSA2                      protein_coding -0.164314   5.644262
469         15034             RP11                             lincRNA  0.161179   4.675500
470          2199             RP11                processed_pseudogene  0.152479   1.049813
471          8105            ITGA6                      protein_coding -0.170031   4.241989
472          2737              RP4                             lincRNA -0.231701   3.485943
473         15814              CTC                           antisense  0.162015   3.708979
474         16188           LUCAT1                           antisense  0.212105  -1.357069
475         17903            Y_RNA                            misc_RNA  0.149674   0.592833
476          7780         AC016910                           antisense  0.151848   4.153185
477         12659         AC006499                processed_pseudogene  0.158287   2.016077
478          9869           ZNF621                      protein_coding  0.205963  -0.021149
479          4786           YBX1P9                processed_pseudogene -0.183047   3.766629
480           702              NaN                            misc_RNA  0.171338   4.672789
481          4469              NaN                           antisense -0.174935  -0.370085
482          2554          OR11I1P                  unitary_pseudogene  0.215144  -0.462348
483         11415             RP11                processed_pseudogene  0.159502   1.481943
484          1834              NaN                            misc_RNA  0.205171   0.403889
485          8135             RP11                processed_pseudogene -0.187242   3.910220
486         15888              CTC                             lincRNA  0.200377  -1.229004
487          1839              NaN                            misc_RNA -0.176940   5.375452
488          6312          RPS4XP5    transcribed_processed_pseudogene -0.182265   2.095874
